Age,Height,Weight,Year,Season
23.0,183.0,84.0,1992,1
19.0,183.0,70.0,2008,0
22.0,172.0,60.0,1992,0
26.0,168.0,64.0,1996,0
25.0,175.0,57.0,2008,0
26.0,175.0,56.0,1992,0
21.0,176.0,70.0,2016,0
24.0,186.0,71.0,2008,0
24.0,168.0,69.0,2000,0
20.0,173.0,62.0,2000,0
18.0,165.0,53.0,2000,0
23.0,187.0,83.0,1992,0
20.0,168.0,65.0,2002,1
20.0,174.0,60.0,2000,0
22.0,175.0,65.0,2012,0
24.0,175.0,73.0,1996,0
28.0,170.0,63.0,2016,0
23.0,160.0,63.0,2008,0
19.0,182.0,75.0,1992,0
20.0,167.0,60.0,1996,0
23.0,173.0,70.0,2002,1
23.0,165.0,53.0,2004,0
22.0,192.0,80.0,2000,0
26.0,171.0,58.0,2000,0
24.0,183.0,70.0,2004,0
24.0,180.0,72.0,2014,1
20.0,180.0,82.0,2008,0
22.0,171.0,65.0,2004,0
24.0,167.0,67.0,2004,0
24.0,169.0,63.0,1996,0
23.0,164.0,55.0,2004,0
33.0,165.0,63.0,2004,0
27.0,163.0,55.0,2010,1
26.0,161.0,52.0,2002,1
28.0,167.0,61.0,2006,1
24.0,179.0,70.0,2016,0
26.0,167.0,60.0,2004,0
20.0,170.0,63.0,2004,0
21.0,182.0,82.0,1992,0
19.0,187.0,71.0,2016,0
21.0,184.0,78.0,2016,0
27.0,183.0,71.0,2012,0
24.0,173.0,59.0,2010,1
20.0,167.0,60.0,2000,0
24.0,178.0,70.0,1996,0
21.0,180.0,78.0,1996,0
24.0,172.0,69.0,2016,0
26.0,180.0,77.0,2000,0
24.0,177.0,72.0,1992,0
24.0,184.0,85.0,1998,1
23.0,185.0,70.0,2004,0
25.0,174.0,58.0,2010,1
24.0,180.0,70.0,2014,1
24.0,160.0,53.0,2014,1
20.0,185.0,77.0,1992,0
27.0,172.0,65.0,2016,0
26.0,186.0,73.0,2014,1
23.0,172.0,70.0,2010,1
28.0,172.0,60.0,2014,1
33.0,170.0,62.0,2004,0
22.0,170.0,57.0,1996,0
27.0,175.0,71.0,2008,0
24.0,178.0,65.0,1994,1
21.0,178.0,77.0,1998,1
24.0,174.0,68.0,2002,1
27.0,169.0,63.0,2016,0
21.0,176.0,64.0,2008,0
20.0,187.0,79.0,1996,0
24.0,163.0,57.0,1996,0
28.0,161.0,57.0,2016,0
27.0,183.0,75.0,2000,0
27.0,172.0,58.0,2008,0
21.0,173.0,62.0,1998,1
22.0,174.0,65.0,1992,0
25.0,180.0,76.0,2000,0
26.0,183.0,85.0,1994,1
30.0,183.0,72.0,1998,1
28.0,188.0,75.0,2008,0
27.0,171.0,63.0,2008,0
27.0,163.0,52.0,2016,0
23.0,184.0,77.0,1992,0
19.0,167.0,60.0,2000,0
31.0,179.0,84.0,1996,0
25.0,168.0,54.0,2016,0
26.0,174.0,65.0,2000,0
32.0,167.0,60.0,2010,1
22.0,177.0,69.0,2016,0
28.0,180.0,82.0,2012,0
27.0,165.0,62.0,2004,0
25.0,181.0,80.0,2006,1
24.0,176.0,70.0,2008,0
29.0,178.0,75.0,1996,0
27.0,180.0,65.0,1996,0
21.0,176.0,74.0,1994,1
28.0,187.0,72.0,2012,0
22.0,162.0,59.0,2016,0
19.0,180.0,74.0,2008,0
19.0,180.0,63.0,2000,0
23.0,185.0,70.0,2012,0
28.0,182.0,70.0,1992,0
27.0,180.0,80.0,2016,0
24.0,166.0,59.0,2016,0
26.0,159.0,57.0,1998,1
26.0,165.0,60.0,2004,0
21.0,176.0,63.0,2012,0
30.0,178.0,72.0,1996,0
26.0,182.0,73.0,2004,0
22.0,175.0,62.0,1998,1
22.0,177.0,74.0,2006,1
20.0,172.0,61.0,2008,0
25.0,181.0,80.0,2010,1
26.0,189.0,76.0,2000,0
18.0,185.0,75.0,1992,0
25.0,175.0,70.0,2016,0
27.0,183.0,79.0,2016,0
27.0,161.0,54.0,2006,1
23.0,174.0,61.0,1996,0
26.0,164.0,61.0,2000,0
22.0,180.0,73.0,2008,0
30.0,179.0,70.0,2000,0
24.0,168.0,55.0,2000,0
28.0,170.0,59.0,1992,0
26.0,173.0,66.0,1994,1
24.0,167.0,64.0,1992,0
22.0,168.0,63.0,2012,0
22.0,157.0,52.0,2016,0
26.0,162.0,53.0,1998,1
28.0,187.0,74.0,2000,0
26.0,170.0,65.0,1992,1
27.0,184.0,73.0,2012,0
23.0,174.0,60.0,1992,0
30.0,178.0,78.0,2004,0
23.0,172.0,64.0,2016,0
27.0,183.0,71.0,2004,0
20.0,163.0,57.0,1996,0
22.0,167.0,63.0,1998,1
20.0,178.0,75.0,2008,0
19.0,167.0,54.0,2016,0
27.0,162.0,63.0,2000,0
31.0,181.0,75.0,1996,0
23.0,174.0,65.0,1996,0
25.0,168.0,61.0,2016,0
24.0,165.0,57.0,2008,0
20.0,168.0,57.0,1998,1
28.0,184.0,72.0,2008,0
27.0,163.0,61.0,2000,0
25.0,170.0,59.0,1998,1
26.0,170.0,67.0,2014,1
29.0,180.0,79.0,2010,1
23.0,163.0,60.0,2004,0
26.0,160.0,52.0,2000,0
24.0,182.0,81.0,1992,0
25.0,170.0,59.0,2012,0
21.0,170.0,58.0,2016,0
26.0,179.0,71.0,2002,1
24.0,176.0,66.0,2016,0
20.0,181.0,72.0,2002,1
26.0,164.0,58.0,2002,1
25.0,164.0,59.0,2004,0
21.0,168.0,58.0,1996,0
29.0,178.0,68.0,1998,1
26.0,170.0,60.0,2016,0
30.0,175.0,77.0,1996,0
19.0,174.0,64.0,1998,1
25.0,167.0,58.0,2016,0
24.0,177.0,71.0,2006,1
24.0,176.0,66.0,2004,0
24.0,172.0,67.0,2002,1
29.0,162.0,56.0,1996,0
31.0,175.0,69.0,1996,0
19.0,176.0,60.0,2008,0
26.0,178.0,74.0,1998,1
27.0,178.0,71.0,2002,1
23.0,180.0,64.0,1996,0
31.0,170.0,70.0,2008,0
26.0,169.0,66.0,1996,0
23.0,163.0,62.0,2014,1
25.0,173.0,68.0,1994,1
26.0,170.0,67.0,1992,0
21.0,183.0,67.0,2002,1
24.0,165.0,62.0,1998,1
27.0,169.0,64.0,1992,0
19.0,170.0,68.0,1992,0
25.0,175.0,67.0,2012,0
27.0,182.0,71.0,1992,0
28.0,172.0,57.0,1994,1
25.0,165.0,64.0,2000,0
29.0,180.0,80.0,2010,1
19.0,170.0,71.0,1992,1
26.0,188.0,86.0,1992,0
30.0,179.0,69.0,2004,0
27.0,190.0,80.0,2000,0
22.0,178.0,77.0,1996,0
22.0,173.0,68.0,2000,0
20.0,164.0,53.0,2000,0
26.0,179.0,73.0,2004,0
23.0,168.0,60.0,2008,0
28.0,183.0,82.0,2000,0
22.0,188.0,80.0,1992,0
21.0,182.0,76.0,1998,1
28.0,172.0,63.0,1992,0
26.0,178.0,65.0,2012,0
28.0,181.0,72.0,2012,0
24.0,168.0,67.0,2014,1
27.0,167.0,65.0,1994,1
23.0,182.0,72.0,2004,0
23.0,165.0,55.0,2012,0
22.0,174.0,60.0,2000,0
20.0,186.0,80.0,1998,1
20.0,185.0,72.0,2000,0
20.0,179.0,68.0,2002,1
27.0,183.0,78.0,2004,0
25.0,185.0,85.0,1996,0
28.0,180.0,70.0,2016,0
21.0,180.0,68.0,1992,1
21.0,181.0,75.0,2008,0
26.0,184.0,73.0,2012,0
27.0,182.0,75.0,1996,0
20.0,176.0,74.0,1996,0
26.0,178.0,75.0,1992,0
19.0,178.0,67.0,2000,0
22.0,170.0,64.0,2012,0
29.0,173.0,69.0,2014,1
28.0,170.0,67.0,2004,0
22.0,178.0,64.0,2008,0
27.0,175.0,60.0,1996,0
30.0,170.0,65.0,2008,0
32.0,180.0,70.0,1992,1
32.0,168.0,53.0,2014,1
24.0,167.0,59.0,2006,1
30.0,176.0,74.0,2014,1
26.0,160.0,58.0,1994,1
27.0,165.0,63.0,2002,1
19.0,175.0,64.0,2000,0
23.0,185.0,82.0,1992,0
27.0,166.0,66.0,1992,1
21.0,184.0,83.0,1992,1
21.0,168.0,66.0,2008,0
23.0,176.0,73.0,2012,0
22.0,184.0,71.0,2000,0
23.0,174.0,66.0,2012,0
27.0,169.0,52.0,2016,0
23.0,186.0,78.0,2012,0
23.0,163.0,63.0,2012,0
23.0,163.0,53.0,2000,0
24.0,185.0,80.0,1992,0
23.0,177.0,75.0,2004,0
28.0,175.0,64.0,1996,0
22.0,183.0,69.0,2012,0
28.0,160.0,54.0,2006,1
22.0,172.0,74.0,2014,1
21.0,188.0,77.0,1996,0
25.0,163.0,60.0,1992,0
24.0,173.0,68.0,2012,0
21.0,160.0,54.0,2012,0
22.0,170.0,60.0,2004,0
23.0,184.0,76.0,2012,0
22.0,170.0,62.0,2002,1
30.0,167.0,60.0,2004,0
24.0,164.0,58.0,1996,0
22.0,169.0,59.0,2004,0
27.0,170.0,63.0,1996,0
23.0,177.0,73.0,2000,0
23.0,176.0,67.0,2004,0
25.0,172.0,65.0,2006,1
27.0,183.0,69.0,2008,0
24.0,186.0,73.0,1992,0
26.0,182.0,80.0,2008,0
22.0,175.0,70.0,1998,1
22.0,160.0,52.0,2004,0
21.0,183.0,78.0,1992,0
31.0,179.0,75.0,2004,0
23.0,165.0,55.0,2006,1
27.0,167.0,54.0,2016,0
24.0,174.0,68.0,2010,1
30.0,185.0,75.0,1996,0
24.0,173.0,63.0,2000,0
24.0,188.0,85.0,1992,0
25.0,170.0,62.0,2000,0
24.0,185.0,73.0,2012,0
29.0,178.0,70.0,2006,1
29.0,181.0,77.0,1996,0
30.0,168.0,60.0,2016,0
21.0,168.0,63.0,1998,1
27.0,178.0,70.0,2000,0
22.0,178.0,71.0,2000,0
25.0,174.0,59.0,2004,0
28.0,173.0,59.0,2004,0
24.0,183.0,68.0,1996,0
21.0,182.0,71.0,1992,0
26.0,165.0,60.0,2016,0
27.0,184.0,74.0,2012,0
25.0,174.0,65.0,1996,0
28.0,160.0,55.0,2000,0
26.0,178.0,64.0,2012,0
24.0,161.0,51.0,2004,0
26.0,184.0,79.0,2016,0
24.0,179.0,72.0,2012,0
25.0,170.0,55.0,2000,0
22.0,180.0,64.0,2008,0
28.0,167.0,65.0,1994,1
27.0,172.0,56.0,2016,0
28.0,163.0,55.0,1996,0
27.0,180.0,82.0,1992,1
32.0,188.0,81.0,2004,0
30.0,169.0,58.0,2000,0
31.0,168.0,60.0,2016,0
22.0,179.0,69.0,1996,0
25.0,162.0,59.0,2014,1
28.0,160.0,54.0,2008,0
22.0,183.0,67.0,2008,0
24.0,182.0,68.0,2012,0
20.0,179.0,69.0,2012,0
19.0,175.0,63.0,2004,0
23.0,167.0,66.0,1992,0
23.0,178.0,77.0,2002,1
26.0,178.0,81.0,2016,0
28.0,185.0,70.0,2008,0
21.0,172.0,58.0,1992,0
21.0,178.0,68.0,2008,0
25.0,173.0,57.0,1992,1
27.0,180.0,80.0,1992,1
19.0,185.0,72.0,2016,0
27.0,168.0,68.0,2012,0
22.0,176.0,60.0,2000,0
22.0,184.0,73.0,1992,0
24.0,170.0,62.0,1992,0
24.0,165.0,63.0,1992,0
24.0,171.0,60.0,2000,0
24.0,173.0,64.0,2000,0
26.0,173.0,57.0,2016,0
25.0,170.0,64.0,1992,0
28.0,185.0,77.0,2014,1
27.0,178.0,66.0,1996,0
31.0,180.0,84.0,1996,0
22.0,185.0,83.0,2012,0
23.0,165.0,52.0,2008,0
21.0,178.0,68.0,1996,0
25.0,180.0,82.0,1992,0
24.0,161.0,54.0,1998,1
25.0,179.0,73.0,2000,0
19.0,169.0,61.0,2008,0
24.0,173.0,64.0,1992,1
22.0,186.0,80.0,1994,1
25.0,183.0,80.0,2008,0
23.0,182.0,79.0,2000,0
26.0,176.0,76.0,1992,0
21.0,188.0,75.0,2008,0
32.0,169.0,62.0,2004,0
19.0,188.0,79.0,1992,0
21.0,175.0,65.0,2012,0
29.0,175.0,75.0,2000,0
20.0,170.0,58.0,1996,0
18.0,184.0,83.0,1992,0
18.0,183.0,70.0,2014,1
21.0,169.0,62.0,2014,1
20.0,177.0,70.0,2016,0
26.0,174.0,66.0,2004,0
28.0,179.0,82.0,2012,0
23.0,180.0,71.0,2004,0
22.0,162.0,60.0,2010,1
26.0,164.0,60.0,2010,1
24.0,181.0,71.0,2008,0
25.0,176.0,60.0,2004,0
17.0,183.0,73.0,2000,0
27.0,181.0,74.0,2000,0
29.0,168.0,60.0,1992,0
24.0,169.0,63.0,1996,0
29.0,178.0,69.0,2002,1
25.0,168.0,55.0,2004,0
21.0,185.0,76.0,2014,1
20.0,170.0,66.0,1992,0
30.0,168.0,56.0,2010,1
30.0,170.0,60.0,2016,0
24.0,185.0,73.0,2012,0
28.0,171.0,65.0,1996,0
23.0,161.0,52.0,2002,1
22.0,169.0,53.0,2016,0
23.0,175.0,63.0,1998,1
22.0,185.0,75.0,1992,0
30.0,168.0,59.0,2008,0
27.0,174.0,69.0,1992,0
23.0,188.0,80.0,1996,0
23.0,164.0,60.0,2008,0
29.0,168.0,62.0,1992,0
25.0,162.0,66.0,2014,1
27.0,173.0,66.0,2016,0
21.0,186.0,75.0,1996,0
22.0,176.0,70.0,1992,0
29.0,163.0,60.0,2000,0
25.0,168.0,59.0,2010,1
26.0,170.0,63.0,2006,1
27.0,173.0,61.0,1996,0
23.0,157.0,55.0,2016,0
22.0,182.0,80.0,1994,1
27.0,170.0,55.0,2002,1
20.0,182.0,72.0,2008,0
19.0,183.0,73.0,2016,0
25.0,167.0,58.0,1992,1
19.0,166.0,60.0,1996,0
24.0,180.0,72.0,2006,1
20.0,172.0,63.0,2004,0
25.0,169.0,67.0,1992,1
30.0,170.0,67.0,2008,0
24.0,170.0,62.0,1992,0
25.0,170.0,64.0,1998,1
23.0,180.0,76.0,1992,0
25.0,176.0,64.0,2004,0
21.0,155.0,48.0,2012,0
23.0,179.0,67.0,1992,0
24.0,181.0,75.0,1994,1
28.0,173.0,73.0,1998,1
27.0,173.0,61.0,2012,0
29.0,174.0,64.0,2016,0
20.0,176.0,59.0,2010,1
22.0,158.0,51.0,2012,0
23.0,191.0,81.0,2000,0
32.0,170.0,55.0,2010,1
22.0,177.0,76.0,1992,0
24.0,186.0,80.0,2012,0
23.0,170.0,67.0,2000,0
28.0,183.0,77.0,1996,0
27.0,169.0,65.0,2008,0
26.0,175.0,58.0,2004,0
30.0,170.0,59.0,2000,0
26.0,178.0,73.0,2000,0
28.0,181.0,70.0,2004,0
21.0,183.0,66.0,2002,1
26.0,170.0,65.0,1998,1
28.0,167.0,60.0,2004,0
26.0,171.0,59.0,2000,0
24.0,176.0,69.0,2004,0
27.0,172.0,65.0,2016,0
25.0,173.0,60.0,1992,0
23.0,183.0,66.0,1996,0
23.0,173.0,67.0,1992,1
26.0,168.0,64.0,2000,0
29.0,175.0,69.0,2016,0
25.0,191.0,85.0,1992,0
20.0,176.0,74.0,2014,1
29.0,165.0,52.0,2012,0
23.0,171.0,65.0,2008,0
30.0,179.0,74.0,1996,0
24.0,168.0,55.0,2016,0
24.0,176.0,63.0,1996,0
23.0,175.0,68.0,2004,0
18.0,174.0,62.0,2012,0
23.0,165.0,60.0,2006,1
22.0,162.0,59.0,1996,0
28.0,176.0,74.0,2014,1
29.0,176.0,67.0,1994,1
28.0,178.0,71.0,2004,0
19.0,187.0,84.0,1992,1
26.0,185.0,77.0,2000,0
26.0,174.0,60.0,1998,1
26.0,164.0,57.0,2008,0
28.0,166.0,56.0,2016,0
25.0,175.0,74.0,2012,0
21.0,188.0,75.0,1996,0
24.0,156.0,55.0,2016,0
27.0,185.0,71.0,2010,1
25.0,169.0,54.0,2000,0
24.0,187.0,85.0,1994,1
23.0,170.0,70.0,1996,0
20.0,167.0,55.0,2000,0
22.0,184.0,74.0,2004,0
22.0,167.0,52.0,2008,0
23.0,171.0,70.0,2010,1
20.0,163.0,52.0,2002,1
23.0,160.0,51.0,2014,1
25.0,173.0,58.0,1992,0
22.0,183.0,68.0,2012,0
28.0,166.0,59.0,2016,0
30.0,178.0,71.0,1996,0
23.0,179.0,68.0,1996,0
27.0,165.0,58.0,2012,0
24.0,172.0,69.0,1992,0
24.0,180.0,76.0,2014,1
23.0,173.0,72.0,2014,1
26.0,172.0,62.0,2012,0
23.0,183.0,82.0,2016,0
30.0,179.0,82.0,2010,1
24.0,161.0,57.0,2006,1
23.0,179.0,76.0,1994,1
24.0,172.0,60.0,1992,0
23.0,186.0,78.0,2000,0
25.0,176.0,65.0,1998,1
22.0,172.0,58.0,2000,0
20.0,189.0,82.0,1992,0
22.0,175.0,61.0,2008,0
24.0,168.0,59.0,2016,0
28.0,164.0,56.0,2016,0
26.0,184.0,85.0,1992,0
28.0,160.0,55.0,2000,0
25.0,183.0,82.0,1996,0
22.0,171.0,70.0,2010,1
23.0,158.0,50.0,2012,0
22.0,164.0,55.0,2006,1
27.0,172.0,69.0,1992,0
29.0,169.0,58.0,2012,0
28.0,178.0,72.0,1996,0
26.0,178.0,78.0,2004,0
23.0,193.0,83.0,1992,0
25.0,178.0,70.0,2012,0
29.0,174.0,74.0,2004,0
25.0,182.0,80.0,2008,0
21.0,182.0,70.0,2012,0
28.0,157.0,51.0,2000,0
25.0,162.0,57.0,2000,0
23.0,188.0,77.0,2008,0
25.0,184.0,77.0,2008,0
27.0,185.0,80.0,2014,1
21.0,179.0,63.0,1992,0
25.0,170.0,64.0,1996,0
23.0,184.0,83.0,1992,0
22.0,180.0,75.0,2016,0
20.0,175.0,63.0,2002,1
21.0,178.0,72.0,1992,0
23.0,183.0,77.0,2016,0
26.0,176.0,69.0,2000,0
24.0,180.0,69.0,2008,0
25.0,169.0,57.0,2008,0
25.0,174.0,70.0,2016,0
22.0,175.0,65.0,1992,0
21.0,175.0,70.0,2012,0
29.0,170.0,69.0,2008,0
27.0,165.0,63.0,2000,0
25.0,165.0,66.0,1998,1
23.0,178.0,68.0,1992,0
27.0,180.0,67.0,1992,1
18.0,173.0,66.0,1994,1
20.0,156.0,50.0,2012,0
21.0,185.0,72.0,1992,0
24.0,165.0,55.0,2008,0
30.0,187.0,75.0,2008,0
23.0,175.0,62.0,1996,0
23.0,173.0,65.0,2016,0
19.0,172.0,58.0,2004,0
25.0,170.0,65.0,2000,0
21.0,161.0,60.0,2002,1
22.0,168.0,57.0,2000,0
28.0,181.0,79.0,1994,1
23.0,165.0,56.0,1998,1
21.0,162.0,52.0,2002,1
19.0,184.0,71.0,2008,0
25.0,180.0,72.0,2000,0
26.0,163.0,56.0,2008,0
23.0,164.0,57.0,2004,0
31.0,187.0,74.0,2008,0
26.0,180.0,78.0,1996,0
25.0,172.0,59.0,2004,0
25.0,154.0,48.0,2012,0
21.0,177.0,65.0,2010,1
29.0,190.0,85.0,1992,0
25.0,190.0,78.0,2000,0
24.0,187.0,84.0,1992,0
23.0,168.0,67.0,2000,0
25.0,175.0,65.0,1996,0
23.0,175.0,70.0,2004,0
24.0,178.0,64.0,2014,1
33.0,172.0,66.0,1996,0
21.0,183.0,77.0,2000,0
28.0,175.0,62.0,2014,1
23.0,185.0,75.0,2008,0
20.0,188.0,79.0,1992,0
28.0,176.0,76.0,2002,1
20.0,188.0,85.0,1996,0
19.0,173.0,60.0,2012,0
28.0,185.0,78.0,1996,0
19.0,171.0,63.0,1996,0
28.0,178.0,78.0,2006,1
23.0,185.0,80.0,2016,0
29.0,176.0,76.0,2004,0
23.0,191.0,82.0,1992,0
23.0,162.0,56.0,2004,0
19.0,177.0,68.0,2004,0
32.0,168.0,53.0,2012,0
16.0,185.0,83.0,1992,0
23.0,187.0,83.0,1996,0
27.0,169.0,60.0,2008,0
24.0,174.0,70.0,2008,0
23.0,188.0,78.0,1992,0
26.0,170.0,67.0,2004,0
26.0,182.0,75.0,2012,0
22.0,187.0,84.0,2000,0
21.0,188.0,76.0,1996,0
33.0,190.0,80.0,2004,0
25.0,182.0,70.0,2016,0
24.0,176.0,64.0,2006,1
23.0,170.0,70.0,2012,0
26.0,177.0,73.0,1996,0
24.0,171.0,71.0,1992,1
20.0,170.0,60.0,2008,0
26.0,168.0,56.0,2012,0
26.0,171.0,58.0,1998,1
27.0,175.0,73.0,2012,0
23.0,182.0,85.0,1992,1
20.0,169.0,59.0,2000,0
23.0,155.0,49.0,2012,0
26.0,180.0,80.0,2014,1
24.0,178.0,64.0,1994,1
24.0,165.0,54.0,2010,1
21.0,170.0,63.0,1996,0
22.0,188.0,86.0,1996,0
20.0,170.0,72.0,1992,0
31.0,180.0,74.0,2004,0
16.0,178.0,64.0,2008,0
26.0,165.0,55.0,1996,0
23.0,170.0,61.0,2008,0
32.0,175.0,75.0,2000,0
27.0,184.0,74.0,2008,0
23.0,158.0,53.0,2016,0
23.0,175.0,75.0,2014,1
32.0,170.0,64.0,2008,0
26.0,182.0,70.0,2012,0
26.0,178.0,63.0,2002,1
24.0,170.0,59.0,2014,1
33.0,170.0,63.0,2008,0
20.0,185.0,79.0,2016,0
29.0,163.0,49.0,2016,0
21.0,180.0,79.0,2008,0
23.0,167.0,69.0,1992,1
27.0,160.0,54.0,2012,0
28.0,163.0,53.0,2012,0
23.0,167.0,62.0,1998,1
25.0,168.0,52.0,2000,0
23.0,172.0,55.0,2012,0
25.0,181.0,74.0,2000,0
28.0,183.0,72.0,1992,0
24.0,174.0,61.0,2000,0
23.0,160.0,52.0,2000,0
27.0,157.0,59.0,1996,0
19.0,181.0,71.0,2016,0
20.0,180.0,67.0,2000,0
22.0,180.0,76.0,2000,0
22.0,173.0,59.0,2016,0
23.0,177.0,59.0,2008,0
25.0,170.0,62.0,1992,1
32.0,175.0,67.0,2016,0
25.0,165.0,61.0,2002,1
23.0,173.0,56.0,2010,1
32.0,180.0,72.0,2000,0
27.0,166.0,68.0,1996,0
28.0,168.0,63.0,2016,0
29.0,177.0,72.0,2000,0
23.0,188.0,83.0,1992,0
23.0,180.0,68.0,1992,0
28.0,185.0,77.0,2010,1
23.0,180.0,69.0,2006,1
26.0,158.0,56.0,1998,1
23.0,165.0,68.0,1992,1
26.0,179.0,75.0,2006,1
29.0,162.0,57.0,1996,0
22.0,163.0,58.0,2016,0
19.0,185.0,72.0,2004,0
24.0,188.0,78.0,1996,0
30.0,174.0,72.0,2014,1
28.0,168.0,52.0,2016,0
23.0,180.0,70.0,1998,1
21.0,178.0,69.0,2014,1
19.0,171.0,62.0,1992,0
18.0,186.0,80.0,1992,0
20.0,176.0,70.0,2012,0
29.0,187.0,73.0,2000,0
23.0,175.0,60.0,2004,0
27.0,159.0,58.0,1996,0
27.0,161.0,60.0,2004,0
30.0,167.0,58.0,2010,1
27.0,170.0,54.0,2008,0
23.0,176.0,70.0,1994,1
27.0,170.0,62.0,1994,1
19.0,183.0,77.0,1992,0
24.0,168.0,56.0,1992,0
22.0,179.0,77.0,2004,0
26.0,171.0,73.0,1996,0
