age,balance,duration,balance,marital
59,0,226,0,1
35,747,141,747,0
39,147,151,147,1
41,221,57,221,1
43,264,113,264,1
31,360,89,360,1
40,194,189,194,1
31,132,148,132,1
38,0,96,0,2
42,16,140,16,2
44,106,109,106,0
44,93,125,93,1
26,543,169,543,1
67,696,119,696,1
56,784,149,784,1
53,105,74,105,1
31,171,81,171,1
59,42,40,42,1
78,229,97,229,2
23,363,16,363,0
36,553,106,553,0
32,396,205,396,1
55,145,59,145,1
26,0,425,0,1
38,50,98,50,0
57,82,140,82,1
36,101,314,101,0
51,203,134,203,2
31,338,155,338,1
29,444,130,444,1
41,0,630,0,1
32,360,164,360,0
37,0,268,0,1
42,2,380,2,2
41,412,154,412,1
56,344,221,344,1
41,174,367,174,2
40,591,87,591,0
40,219,204,219,1
60,5,63,5,1
28,177,150,177,0
38,424,279,424,1
39,111,201,111,1
30,261,233,261,0
36,0,337,0,1
34,524,9,524,0
37,427,371,427,1
27,0,435,0,1
32,217,317,217,1
33,22,76,22,0
25,331,170,331,0
39,52,69,52,1
46,25,564,25,2
45,419,113,419,1
24,119,51,119,0
45,586,32,586,0
32,228,176,228,0
41,168,187,168,1
37,0,24,0,1
48,0,85,0,1
33,0,236,0,0
29,428,54,428,0
34,0,71,0,0
32,0,455,0,0
42,323,280,323,1
46,179,194,179,1
37,391,103,391,0
41,89,333,89,1
36,442,102,442,0
35,308,77,308,2
55,273,84,273,1
27,50,168,50,0
34,20,10,20,1
48,310,135,310,1
37,37,253,37,0
37,176,147,176,1
37,0,65,0,1
28,172,194,172,0
32,0,333,0,0
40,6,140,6,2
34,-62,109,-62,1
37,21,96,21,0
36,23,152,23,1
49,0,97,0,1
57,39,354,39,2
38,1,152,1,1
45,0,139,0,0
38,432,10,432,1
49,400,151,400,1
53,-22,20,-22,1
49,365,59,365,1
41,204,111,204,1
32,406,227,406,0
33,359,210,359,1
36,123,9,123,1
35,0,112,0,1
52,142,112,142,1
44,33,195,33,0
48,20,145,20,2
57,206,216,206,1
34,1,483,1,0
36,0,60,0,1
32,0,123,0,0
42,484,144,484,1
43,0,9,0,1
31,395,155,395,1
55,410,221,410,2
46,222,71,222,1
34,415,361,415,1
28,16,119,16,0
54,209,97,209,1
32,0,181,0,0
53,624,180,624,1
40,0,297,0,1
35,0,262,0,0
34,4,644,4,1
38,0,247,0,0
51,37,341,37,2
59,593,64,593,1
42,63,88,63,2
40,260,197,260,1
41,49,312,49,1
34,69,120,69,1
47,480,211,480,1
53,0,135,0,2
56,353,171,353,1
38,605,147,605,1
43,2,472,2,1
25,760,223,760,0
46,182,56,182,1
37,-67,157,-67,1
60,179,79,179,0
47,214,168,214,1
37,121,22,121,1
34,244,56,244,1
30,424,298,424,0
47,447,126,447,2
56,478,97,478,1
60,0,151,0,0
36,219,270,219,0
44,0,159,0,1
35,32,180,32,1
39,278,60,278,1
50,4,223,4,1
30,209,30,209,0
46,271,134,271,1
36,339,6,339,0
42,0,209,0,1
38,0,196,0,0
58,497,138,497,1
60,55,207,55,1
30,0,131,0,0
40,733,94,733,1
27,468,109,468,0
39,0,53,0,1
41,8,155,8,1
45,61,108,61,1
48,302,208,302,1
28,0,380,0,0
35,0,106,0,1
33,43,332,43,1
41,288,221,288,1
34,613,80,613,1
38,168,212,168,1
27,148,203,148,0
41,744,125,744,1
39,130,202,130,1
44,438,37,438,1
54,0,161,0,1
49,322,72,322,1
34,186,342,186,0
42,0,325,0,1
39,167,330,167,1
36,342,142,342,0
29,20,418,20,1
43,130,156,130,1
56,217,121,217,1
55,0,108,0,2
31,259,47,259,1
27,619,16,619,0
44,22,265,22,1
30,239,115,239,0
47,2,89,2,1
39,2,180,2,1
32,34,321,34,1
44,795,99,795,1
42,117,147,117,1
25,402,264,402,0
40,641,156,641,0
43,36,118,36,2
55,383,343,383,1
50,283,226,283,1
45,0,5,0,2
38,15,121,15,1
57,452,139,452,1
48,149,71,149,1
56,237,236,237,0
40,694,97,694,1
40,0,109,0,1
54,55,112,55,1
55,136,15,136,1
46,22,388,22,1
58,2,282,2,1
31,13,110,13,1
19,103,104,103,0
52,217,193,217,0
42,360,110,360,2
41,428,92,428,0
38,121,168,121,1
52,195,220,195,1
48,108,89,108,2
45,757,103,757,2
34,691,70,691,1
54,0,220,0,1
47,233,293,233,1
49,66,218,66,2
32,182,145,182,0
58,76,54,76,1
34,663,111,663,0
29,15,136,15,1
26,63,76,63,0
40,0,44,0,1
27,0,198,0,1
48,157,73,157,1
35,0,90,0,1
47,2,236,2,1
54,0,118,0,1
28,378,346,378,0
54,211,200,211,1
40,56,194,56,1
26,211,168,211,0
28,459,83,459,0
81,1,65,1,1
35,67,192,67,2
44,0,161,0,1
49,171,19,171,1
28,227,278,227,0
31,236,211,236,1
52,192,61,192,1
43,38,197,38,2
32,518,34,518,0
36,16,95,16,1
45,334,87,334,1
41,108,83,108,1
31,660,115,660,1
37,0,108,0,0
47,201,58,201,1
37,189,148,189,1
60,-49,188,-49,2
52,54,103,54,1
42,0,71,0,1
31,88,189,88,1
36,119,127,119,2
46,342,84,342,1
50,72,141,72,0
32,14,171,14,1
26,81,262,81,0
31,-45,184,-45,1
31,36,105,36,0
36,146,284,146,1
57,374,236,374,1
45,88,150,88,1
52,289,45,289,1
83,0,140,0,1
33,280,155,280,2
31,33,165,33,1
35,275,144,275,2
56,0,471,0,1
56,272,103,272,1
29,178,231,178,1
60,252,123,252,1
27,81,197,81,0
50,59,67,59,2
58,225,122,225,1
59,0,104,0,1
64,43,117,43,1
47,57,253,57,1
36,666,190,666,2
38,25,232,25,0
46,324,293,324,0
32,0,66,0,1
55,621,114,621,1
55,138,205,138,2
44,310,200,310,1
32,73,158,73,1
37,64,239,64,1
58,2,168,2,0
52,60,196,60,1
49,133,319,133,0
28,174,184,174,0
31,251,156,251,1
28,168,347,168,0
35,-12,212,-12,1
30,60,306,60,0
33,599,29,599,0
53,28,117,28,1
51,35,123,35,1
34,0,144,0,1
35,0,74,0,1
29,3,183,3,1
48,705,108,705,1
33,123,264,123,0
41,429,244,429,1
46,67,9,67,1
35,39,149,39,2
28,102,321,102,0
45,115,209,115,1
40,498,55,498,1
32,55,124,55,1
26,455,240,455,0
37,509,133,509,0
47,153,192,153,0
28,26,227,26,0
30,566,110,566,0
52,204,134,204,2
36,480,213,480,1
46,0,154,0,1
53,66,141,66,1
41,-41,154,-41,0
60,322,63,322,1
43,49,100,49,2
57,1,17,1,2
31,352,97,352,1
53,65,41,65,1
32,739,91,739,0
35,450,63,450,0
28,0,335,0,1
37,414,293,414,2
55,343,276,343,1
26,-32,14,-32,0
33,2,132,2,1
24,111,42,111,0
37,168,227,168,2
28,3,40,3,0
33,0,270,0,1
55,159,15,159,1
42,352,79,352,1
59,179,55,179,1
27,5,205,5,0
51,0,60,0,2
37,511,42,511,2
26,279,239,279,0
30,162,186,162,0
58,111,58,111,1
30,445,218,445,0
32,271,80,271,0
45,88,332,88,2
51,16,158,16,0
31,466,164,466,1
32,456,121,456,1
41,77,56,77,1
27,58,113,58,1
50,421,22,421,1
31,112,159,112,0
39,794,182,794,1
48,454,114,454,1
47,168,66,168,1
35,714,135,714,0
42,0,99,0,0
55,16,64,16,1
31,454,73,454,0
42,439,143,439,1
40,65,15,65,0
54,0,159,0,1
46,5,71,5,1
36,-148,144,-148,1
48,113,38,113,2
42,-105,60,-105,1
34,144,104,144,0
51,4,74,4,2
58,309,156,309,1
49,489,84,489,1
35,141,299,141,1
56,150,102,150,1
33,595,22,595,1
31,203,177,203,0
28,183,62,183,0
50,94,184,94,2
45,58,119,58,1
48,606,77,606,1
41,0,107,0,1
41,338,87,338,1
49,61,185,61,0
37,0,77,0,1
31,25,381,25,0
35,793,106,793,1
30,3,45,3,0
34,35,76,35,1
28,198,128,198,0
31,99,193,99,1
40,60,172,60,1
41,-29,41,-29,1
33,9,91,9,2
36,13,284,13,1
25,18,225,18,1
38,221,79,221,0
34,136,156,136,1
32,-63,198,-63,1
51,340,186,340,2
42,-119,167,-119,1
34,172,177,172,2
34,0,262,0,1
36,222,317,222,1
48,428,127,428,0
33,106,175,106,2
44,0,56,0,2
34,84,231,84,0
55,2,95,2,2
35,-51,134,-51,0
52,196,116,196,1
53,255,126,255,2
47,0,174,0,1
44,262,74,262,1
44,134,86,134,1
37,79,191,79,2
32,604,95,604,0
42,525,127,525,0
31,314,279,314,1
59,0,76,0,1
58,37,84,37,1
20,291,172,291,0
31,438,130,438,0
34,355,261,355,1
24,204,229,204,1
40,5,219,5,1
36,605,204,605,1
53,4,19,4,1
42,198,314,198,1
34,8,169,8,1
36,470,101,470,1
43,520,15,520,1
36,439,260,439,1
32,0,138,0,1
41,231,76,231,0
31,0,144,0,1
32,266,168,266,1
38,-70,140,-70,1
46,538,118,538,0
41,176,42,176,1
30,81,121,81,0
44,178,126,178,1
58,299,120,299,1
35,285,136,285,1
25,72,305,72,1
36,0,332,0,1
30,11,157,11,1
23,736,119,736,0
38,740,259,740,1
39,14,19,14,0
38,0,57,0,1
36,419,251,419,1
28,594,54,594,2
32,0,268,0,0
50,202,148,202,2
48,112,139,112,1
57,50,89,50,1
26,74,106,74,2
39,416,56,416,0
52,14,55,14,1
50,0,72,0,1
47,599,99,599,1
36,300,287,300,1
46,217,141,217,1
37,0,69,0,0
35,137,5,137,1
43,146,50,146,0
59,1,159,1,1
50,-10,369,-10,2
28,318,4,318,1
48,725,105,725,1
35,188,286,188,1
37,189,238,189,1
32,787,92,787,0
43,167,211,167,2
36,243,160,243,0
26,127,85,127,0
34,176,78,176,1
57,0,648,0,1
35,56,24,56,2
57,501,59,501,1
59,0,97,0,1
39,246,86,246,1
27,446,205,446,0
44,205,289,205,1
50,0,86,0,1
41,369,9,369,2
55,23,123,23,1
31,62,175,62,0
38,157,299,157,2
55,186,241,186,1
36,0,637,0,0
42,230,175,230,1
35,317,162,317,1
27,1,116,1,2
38,126,164,126,1
32,-33,234,-33,1
37,430,154,430,1
33,-6,566,-6,1
71,383,327,383,1
27,130,265,130,1
34,201,257,201,0
54,0,618,0,2
30,6,241,6,1
59,185,177,185,1
53,320,175,320,2
41,654,139,654,2
36,177,63,177,1
60,174,241,174,2
36,490,207,490,0
40,0,543,0,1
23,598,166,598,0
44,271,94,271,1
47,320,203,320,1
27,15,177,15,0
27,201,172,201,0
51,160,136,160,1
32,5,82,5,2
30,75,123,75,0
37,490,73,490,2
37,131,137,131,1
35,8,55,8,1
32,116,255,116,0
35,189,95,189,1
31,2,112,2,1
27,54,97,54,1
22,549,154,549,0
35,298,135,298,1
45,0,38,0,0
47,109,268,109,1
52,-11,94,-11,1
33,90,263,90,1
32,0,175,0,2
33,0,163,0,1
55,218,200,218,2
48,741,227,741,1
33,-56,119,-56,0
30,1,80,1,1
43,-98,112,-98,1
36,-129,121,-129,1
30,0,127,0,1
30,122,107,122,1
35,0,124,0,2
33,411,216,411,2
30,236,197,236,0
40,0,271,0,1
54,386,155,386,1
48,607,29,607,1
55,61,113,61,2
47,209,135,209,1
24,172,67,172,0
58,2,684,2,1
49,-55,150,-55,1
30,329,122,329,0
44,-14,179,-14,1
48,0,176,0,1
37,0,115,0,1
32,151,118,151,0
27,49,208,49,0
48,60,376,60,1
40,17,78,17,1
46,91,29,91,1
41,171,209,171,1
33,142,41,142,2
26,205,111,205,0
42,97,108,97,1
45,204,224,204,1
40,226,176,226,0
31,413,65,413,1
28,171,93,171,0
29,751,121,751,1
43,99,24,99,2
58,781,74,781,1
41,0,101,0,1
35,0,340,0,1
27,73,242,73,0
40,169,43,169,1
65,300,245,300,2
28,126,229,126,0
56,379,58,379,1
45,706,78,706,1
36,0,618,0,1
46,368,293,368,1
41,121,16,121,1
59,204,286,204,1
24,299,209,299,1
25,553,113,553,0
51,518,76,518,2
50,85,141,85,1
21,361,329,361,0
32,687,61,687,1
34,341,136,341,0
33,316,126,316,0
35,2,653,2,1
44,415,7,415,1
50,0,243,0,1
37,37,24,37,1
49,39,27,39,2
31,0,143,0,1
38,578,112,578,0
40,0,64,0,1
29,452,59,452,0
28,-97,79,-97,1
51,467,83,467,2
32,0,101,0,0
36,495,157,495,1
38,157,57,157,1
49,358,176,358,1
42,292,222,292,1
35,365,41,365,1
34,-28,574,-28,1
39,102,272,102,0
57,13,323,13,2
32,101,191,101,1
30,518,127,518,1
39,14,114,14,1
38,0,71,0,0
40,93,134,93,1
39,124,81,124,1
33,69,77,69,1
53,0,80,0,2
38,0,537,0,1
38,744,283,744,0
48,116,70,116,1
44,432,132,432,2
29,9,262,9,0
31,428,272,428,1
31,620,95,620,1
40,192,71,192,0
39,0,502,0,1
44,276,219,276,1
29,113,328,113,0
40,782,224,782,1
33,82,63,82,1
26,443,84,443,0
41,351,175,351,1
39,-41,40,-41,0
31,79,235,79,1
55,197,256,197,1
50,-94,75,-94,1
30,124,161,124,1
36,475,141,475,0
40,-7,697,-7,1
37,375,223,375,0
34,0,63,0,0
30,-99,144,-99,1
32,167,79,167,1
46,19,171,19,1
29,242,73,242,1
53,13,69,13,1
32,286,60,286,1
35,93,198,93,1
39,238,134,238,1
57,63,242,63,2
31,16,387,16,0
29,417,90,417,0
33,133,218,133,1
50,203,265,203,2
34,322,10,322,1
49,273,58,273,1
22,47,69,47,0
56,0,154,0,1
53,0,36,0,1
41,28,49,28,1
33,245,253,245,1
34,412,164,412,1
55,229,175,229,1
31,144,43,144,0
54,386,74,386,1
28,101,126,101,2
45,728,107,728,2
42,0,275,0,0
43,181,41,181,0
34,176,61,176,1
36,49,232,49,1
50,372,21,372,1
34,464,173,464,0
47,104,77,104,1
38,0,179,0,1
29,406,119,406,0
26,484,48,484,1
42,100,64,100,0
37,815,77,815,0
26,245,16,245,1
60,385,80,385,2
32,29,156,29,0
25,0,160,0,1
47,162,203,162,2
49,151,97,151,0
53,-2,144,-2,1
35,11,326,11,1
34,417,138,417,1
60,71,121,71,1
33,249,61,249,1
55,203,9,203,1
55,0,119,0,1
42,130,285,130,1
32,1,399,1,2
39,8,88,8,1
41,55,185,55,1
59,699,98,699,1
42,759,97,759,2
33,687,72,687,1
27,376,273,376,0
39,12,130,12,1
27,23,590,23,0
33,353,107,353,1
29,330,88,330,2
33,0,305,0,2
41,353,90,353,1
30,0,127,0,1
36,356,244,356,2
32,71,221,71,1
38,669,129,669,1
47,556,147,556,1
34,84,299,84,0
45,-11,247,-11,0
37,132,336,132,1
31,0,231,0,0
35,624,163,624,1
40,168,249,168,1
33,263,119,263,1
38,279,110,279,1
32,0,594,0,0
65,300,105,300,1
34,415,123,415,0
34,0,172,0,0
47,302,89,302,1
44,809,118,809,2
46,751,104,751,0
51,-28,220,-28,2
42,0,85,0,2
36,260,49,260,0
34,7,171,7,1
49,323,41,323,1
29,486,95,486,0
51,343,78,343,2
40,507,134,507,2
25,304,226,304,0
30,123,66,123,1
38,76,196,76,1
46,70,229,70,1
57,0,58,0,1
35,62,67,62,0
30,4,84,4,0
38,410,63,410,2
59,-47,84,-47,1
34,197,78,197,1
36,6,41,6,1
51,630,138,630,1
58,235,88,235,1
35,407,12,407,1
40,100,221,100,0
59,345,38,345,1
35,0,151,0,1
41,51,140,51,1
55,150,124,150,1
51,34,200,34,1
27,795,101,795,0
57,282,261,282,1
49,197,223,197,1
56,83,26,83,1
32,-55,107,-55,1
42,243,46,243,0
35,0,524,0,1
35,251,128,251,1
35,44,310,44,0
32,2,144,2,0
50,-84,101,-84,1
38,-1,72,-1,0
37,347,282,347,1
28,781,125,781,0
38,0,206,0,1
32,300,166,300,1
39,0,46,0,1
40,113,126,113,1
41,641,161,641,1
31,0,40,0,1
54,8,143,8,1
39,399,133,399,2
34,15,184,15,1
31,125,78,125,0
38,45,125,45,1
41,13,189,13,1
44,0,300,0,1
30,432,340,432,0
28,373,10,373,1
44,-101,99,-101,0
34,180,298,180,1
58,175,92,175,1
52,381,288,381,1
48,340,255,340,1
33,10,167,10,2
37,781,75,781,0
60,0,40,0,1
34,456,137,456,1
32,253,257,253,1
36,774,231,774,0
32,-59,192,-59,0
37,0,226,0,1
57,0,67,0,1
46,-3,205,-3,1
39,3,488,3,2
32,103,312,103,1
44,316,163,316,2
39,247,244,247,1
27,261,113,261,0
33,291,72,291,0
52,0,163,0,1
33,324,217,324,1
50,669,88,669,1
48,541,72,541,2
34,622,145,622,1
32,0,80,0,1
48,99,344,99,1
28,290,128,290,0
47,65,118,65,1
30,180,203,180,0
32,135,232,135,0
36,60,209,60,1
46,499,37,499,1
32,656,148,656,0
27,100,57,100,1
53,619,198,619,1
29,192,327,192,0
35,0,669,0,0
49,87,165,87,1
19,0,123,0,0
30,34,289,34,0
34,318,239,318,0
28,0,294,0,0
49,15,550,15,2
44,-27,100,-27,0
33,75,204,75,1
26,115,46,115,1
43,434,117,434,1
33,0,44,0,1
31,391,336,391,0
32,255,86,255,1
32,350,110,350,1
49,474,152,474,1
45,315,103,315,1
57,0,257,0,1
40,212,176,212,2
48,333,24,333,1
78,226,136,226,1
49,-37,191,-37,1
30,799,91,799,0
40,98,193,98,1
33,50,246,50,1
40,0,58,0,0
44,10,196,10,1
52,0,197,0,1
35,175,257,175,1
59,139,153,139,1
27,113,39,113,0
61,625,158,625,1
34,105,146,105,0
29,145,105,145,0
34,618,119,618,0
43,0,674,0,1
40,419,347,419,1
38,-23,48,-23,0
24,77,236,77,0
28,60,161,60,1
45,137,187,137,1
51,-13,361,-13,1
31,0,59,0,1
38,46,70,46,1
40,0,228,0,0
51,42,51,42,1
33,285,267,285,1
41,0,95,0,1
48,8,46,8,1
42,216,144,216,2
38,490,17,490,0
45,245,126,245,1
59,0,52,0,2
47,150,52,150,1
33,4,285,4,1
42,473,216,473,1
51,0,84,0,2
73,154,103,154,1
43,625,175,625,1
44,529,129,529,1
56,318,246,318,1
52,230,198,230,1
53,263,143,263,1
24,-46,23,-46,0
57,0,104,0,1
51,18,363,18,1
50,201,248,201,2
39,694,44,694,1
38,0,39,0,0
41,22,238,22,2
38,35,156,35,0
53,230,112,230,1
69,473,112,473,1
30,201,325,201,0
34,44,118,44,2
48,286,166,286,1
46,216,173,216,2
42,214,21,214,1
41,343,89,343,1
33,-77,151,-77,1
26,592,145,592,0
48,0,105,0,1
54,-22,85,-22,1
51,0,439,0,1
47,72,278,72,1
53,100,205,100,1
35,319,221,319,1
52,50,84,50,2
57,32,476,32,1
35,633,128,633,0
35,649,177,649,2
46,452,113,452,2
31,0,38,0,0
46,22,414,22,1
42,145,252,145,1
31,591,161,591,1
62,0,227,0,2
24,508,12,508,0
41,348,225,348,2
43,291,150,291,1
54,781,103,781,1
32,267,128,267,2
52,214,161,214,1
58,425,100,425,1
57,3,142,3,1
34,0,214,0,1
59,0,167,0,1
42,0,236,0,1
33,0,83,0,1
29,0,58,0,0
43,255,180,255,1
36,63,56,63,1
29,57,342,57,1
43,422,110,422,1
33,386,253,386,1
51,260,137,260,1
40,-1,173,-1,0
38,497,88,497,1
26,18,138,18,1
35,819,102,819,1
56,442,77,442,2
28,-46,199,-46,0
30,371,124,371,1
51,-3,91,-3,1
33,11,104,11,1
32,33,125,33,0
46,174,90,174,1
51,-11,126,-11,1
48,363,67,363,1
26,236,8,236,0
39,0,62,0,0
47,-50,175,-50,1
23,4,395,4,0
38,46,195,46,1
35,148,199,148,2
52,431,73,431,1
49,47,234,47,1
32,138,94,138,1
59,0,247,0,1
58,0,5,0,1
34,573,122,573,1
42,47,141,47,2
39,83,193,83,1
42,372,121,372,2
30,48,140,48,0
34,1,108,1,1
46,46,80,46,0
32,-18,155,-18,2
26,479,133,479,1
42,0,328,0,1
41,389,87,389,1
34,10,162,10,0
32,401,294,401,1
58,145,128,145,0
45,115,108,115,1
28,89,172,89,0
35,94,208,94,1
49,780,148,780,2
50,207,99,207,1
37,238,185,238,1
41,764,230,764,0
55,383,287,383,1
34,0,163,0,0
33,99,159,99,0
51,-15,212,-15,1
55,0,180,0,1
30,185,11,185,0
27,0,388,0,0
59,319,143,319,1
34,171,191,171,0
44,-11,13,-11,1
42,704,88,704,1
45,0,100,0,1
